method,records,inference_seconds,inference_time_per_slot_sec,slots_per_second,feature_extraction_time_per_slot_sec,total_estimated_time_per_slot_sec,note
Classical,4000,0.23778960,0.00005945,16821.59,0.01915145,0.01921090,Classical classifier timing excludes feature extraction unless total is used.
CNN,8000,47.77885590,0.00597236,167.44,NA,NA,CNN timing includes model inference on the recorded device.
