summary_type,split,threshold,accuracy,precision,recall,f1_score,false_occupancy_rate,note
selected_threshold,valid,0.14,0.97788,0.96414,0.99267,0.97820,0.03692,Selected threshold from saved CNN metrics.
best_f1_threshold,valid,0.14,0.97788,0.96414,0.99267,0.97820,0.03692,Best validation F1 threshold in sweep.
best_precision_recall_ge_0.97,valid,0.85,0.97317,0.97610,0.97008,0.97308,0.02375,Best precision threshold with validation recall >= 0.97.
meets_all_cnn_requirements,valid,NA,NA,NA,NA,NA,NA,No threshold in the sweep satisfied all CNN requirements.
